# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTRES-CENSUS line>
F	UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_58_7_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #2557 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_58_7_precondition___00.smt2	37	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/N627-026__defaults__with_default.adb_109_15_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=17 wide_sites=17 narrow_pairs=34 wide_pairs=34 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=15 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=3 wide_sites=3 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=3 wide_sites=3 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=3 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=3 wide_sites=3 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=3 wide_sites=3 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=8 wide_sites=8 narrow_pairs=7 wide_pairs=7 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=7 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/N708-013__flow_untangle_untangle__foo.adb_34_33_loop_invariant_preserv___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	8	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=2 wide_pairs=2 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	6	DTRES-CENSUS narrow_sites=8 wide_sites=8 narrow_pairs=4 wide_pairs=4 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=4 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/N715-015__flow_oo_basic__tests.adb_355_9_discriminant_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/N715-015__flow_oo_basic__tests.adb_355_9_discriminant_check___00.smt2	1	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/N715-015__flow_oo_basic__tests.adb_355_9_discriminant_check___00.smt2	4	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_60_25_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_60_25_assert___00.smt2	12	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_60_25_assert___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/NA03-016__flow_constants__raster_graphics.adb_14_39_overflow_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/NA03-016__flow_constants__raster_graphics.adb_14_39_overflow_check___00.smt2	3	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	8	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=3 wide_sites=3 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=8 wide_sites=8 narrow_pairs=5 wide_pairs=5 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=6 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__a-cofuve.ads_232_54_a-cfinve.ads_102_7_indefinite_bounded.ads_6_4_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	4	DTRES-CENSUS narrow_sites=15 wide_sites=15 narrow_pairs=22 wide_pairs=22 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=14 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	4	DTRES-CENSUS narrow_sites=22 wide_sites=22 narrow_pairs=63 wide_pairs=63 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=21 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	6	DTRES-CENSUS narrow_sites=23 wide_sites=23 narrow_pairs=70 wide_pairs=70 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=22 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	4	DTRES-CENSUS narrow_sites=25 wide_sites=25 narrow_pairs=100 wide_pairs=100 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=23 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	2	DTRES-CENSUS narrow_sites=27 wide_sites=27 narrow_pairs=108 wide_pairs=108 dtres_funcs=1 dtres_inexact=1 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=24 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=27 wide_sites=27 narrow_pairs=79 wide_pairs=79 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=25 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=35 wide_sites=35 narrow_pairs=155 wide_pairs=155 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=33 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	6	DTRES-CENSUS narrow_sites=40 wide_sites=40 narrow_pairs=220 wide_pairs=220 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=36 apply_exact=0 apply_inexact=5 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=43 wide_sites=43 narrow_pairs=294 wide_pairs=294 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=38 apply_exact=0 apply_inexact=4 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=45 wide_sites=45 narrow_pairs=295 wide_pairs=295 dtres_funcs=2 dtres_inexact=2 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=40 apply_exact=0 apply_inexact=6 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	8	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=4 wide_pairs=4 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=5 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	4	DTRES-CENSUS narrow_sites=6 wide_sites=6 narrow_pairs=6 wide_pairs=6 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=6 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	2	DTRES-CENSUS narrow_sites=7 wide_sites=7 narrow_pairs=6 wide_pairs=6 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=6 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O120-034__constrained__constrained_attribute.adb_4_26_discriminant_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/O120-034__constrained__constrained_attribute.adb_4_26_discriminant_check___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_discrete__test_dynamic_property.adb_7_15_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	8	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	4	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	4	DTRES-CENSUS narrow_sites=3 wide_sites=3 narrow_pairs=1 wide_pairs=1 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O403-005__private_attributes__use_private_attributes.adb_11_22_assert___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/O403-005__private_attributes__use_private_attributes.adb_11_22_assert___00.smt2	1	DTRES-CENSUS narrow_sites=0 wide_sites=0 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/O403-015__record_equality__record_equality.adb_29_22_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O414-015__flow_constants_in_contracts__const.adb_3_22_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=MBQI did not converge within 16 rounds
C	UFDTLIRA/20200306-Kanig/spark2014bench/O414-015__flow_constants_in_contracts__const.adb_3_22_overflow_check___00.smt2	2	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/O414-015__flow_constants_in_contracts__const.adb_3_22_overflow_check___00.smt2	40	DTRES-CENSUS narrow_sites=4 wide_sites=4 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=1 ELIGIBLE_C=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/O414-015__flow_constants_in_contracts_review_tests__info_flow_tests.adb_51_12_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__a-cofove.ads_749_35_loop_types.ads_12_4_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__a-cofove.ads_749_35_loop_types.ads_12_4_range_check___00.smt2	12	DTRES-CENSUS narrow_sites=1 wide_sites=1 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__a-cofove.ads_749_35_loop_types.ads_12_4_range_check___00.smt2	4	DTRES-CENSUS narrow_sites=2 wide_sites=2 narrow_pairs=0 wide_pairs=0 dtres_funcs=0 dtres_inexact=0 dtres_nondt=0 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE_A=0 ELIGIBLE_C=0
