# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTARG-CENSUS line>
F	UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_60_25_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_60_25_assert___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_60_25_assert___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/NA03-016__flow_constants__raster_graphics.adb_14_39_overflow_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/NA03-016__flow_constants__raster_graphics.adb_14_39_overflow_check___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB04-027__classwide_prepost__dispatcher.adb_6_8_precondition___00.smt2	4	DTARG-CENSUS pairs=5 dt_result=0 dt_result_inexact=0 args=8 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=6 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__a-cofuve.ads_232_54_a-cfinve.ads_102_7_indefinite_bounded.ads_6_4_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	4	DTARG-CENSUS pairs=100 dt_result=1 dt_result_inexact=1 args=25 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=23 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	2	DTARG-CENSUS pairs=108 dt_result=1 dt_result_inexact=1 args=28 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=24 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	4	DTARG-CENSUS pairs=22 dt_result=1 dt_result_inexact=1 args=16 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=14 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	4	DTARG-CENSUS pairs=63 dt_result=1 dt_result_inexact=1 args=23 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=21 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	6	DTARG-CENSUS pairs=70 dt_result=1 dt_result_inexact=1 args=24 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=22 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	4	DTARG-CENSUS pairs=155 dt_result=2 dt_result_inexact=2 args=37 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=33 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	6	DTARG-CENSUS pairs=220 dt_result=2 dt_result_inexact=2 args=42 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=36 apply_exact=0 apply_inexact=5 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	4	DTARG-CENSUS pairs=294 dt_result=2 dt_result_inexact=2 args=43 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=38 apply_exact=0 apply_inexact=4 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	2	DTARG-CENSUS pairs=295 dt_result=2 dt_result_inexact=2 args=47 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=40 apply_exact=0 apply_inexact=6 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	4	DTARG-CENSUS pairs=79 dt_result=2 dt_result_inexact=2 args=29 sym_exact=0 sym_inexact=0 ctor_exact=1 ctor_inexact=25 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=3 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	2	DTARG-CENSUS pairs=4 dt_result=0 dt_result_inexact=0 args=7 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=5 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	4	DTARG-CENSUS pairs=6 dt_result=0 dt_result_inexact=0 args=6 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=6 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/NC10-006__flow_view_conversion_on_controlling_parameter__foo.adb_33_10_precondition___00.smt2	2	DTARG-CENSUS pairs=6 dt_result=0 dt_result_inexact=0 args=8 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=6 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O120-034__constrained__constrained_attribute.adb_4_26_discriminant_check___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/O120-034__constrained__constrained_attribute.adb_4_26_discriminant_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_discrete__test_dynamic_property.adb_7_15_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O217-033__liskov__dispatch_in_contract.adb_16_20_overflow_check___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O403-005__private_attributes__use_private_attributes.adb_11_22_assert___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/O403-005__private_attributes__use_private_attributes.adb_11_22_assert___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/O403-015__record_equality__record_equality.adb_29_22_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O414-015__flow_constants_in_contracts__const.adb_3_22_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/O414-015__flow_constants_in_contracts__const.adb_3_22_overflow_check___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/O414-015__flow_constants_in_contracts__const.adb_3_22_overflow_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/O414-015__flow_constants_in_contracts_review_tests__info_flow_tests.adb_51_12_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__a-cofove.ads_749_35_loop_types.ads_12_4_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__a-cofove.ads_749_35_loop_types.ads_12_4_range_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__a-cofove.ads_749_35_loop_types.ads_12_4_range_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	4	DTARG-CENSUS pairs=10 dt_result=1 dt_result_inexact=1 args=14 sym_exact=0 sym_inexact=5 ctor_exact=0 ctor_inexact=7 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	2	DTARG-CENSUS pairs=24 dt_result=1 dt_result_inexact=1 args=18 sym_exact=0 sym_inexact=9 ctor_exact=0 ctor_inexact=7 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	4	DTARG-CENSUS pairs=4 dt_result=1 dt_result_inexact=1 args=9 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=7 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	4	DTARG-CENSUS pairs=6 dt_result=1 dt_result_inexact=1 args=11 sym_exact=0 sym_inexact=3 ctor_exact=0 ctor_inexact=6 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	2	DTARG-CENSUS pairs=74 dt_result=1 dt_result_inexact=1 args=28 sym_exact=0 sym_inexact=18 ctor_exact=0 ctor_inexact=7 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	2	DTARG-CENSUS pairs=9 dt_result=1 dt_result_inexact=1 args=13 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=7 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O428-055__formal_vector__update_list_zero.adb_18_16_precondition___00.smt2	2	DTARG-CENSUS pairs=9 dt_result=1 dt_result_inexact=1 args=13 sym_exact=0 sym_inexact=5 ctor_exact=0 ctor_inexact=6 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O429-046__flow_prot_subpr_contracts__prot.adb_25_29_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/O429-055__active_priority__active_prio.adb_27_17_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #459 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
F	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__fibonacci__fib.adb_29_42_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=6 sym_exact=0 sym_inexact=5 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=6 sym_exact=0 sym_inexact=6 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	2	DTARG-CENSUS pairs=14 dt_result=0 dt_result_inexact=0 args=13 sym_exact=0 sym_inexact=13 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	2	DTARG-CENSUS pairs=4 dt_result=0 dt_result_inexact=0 args=8 sym_exact=0 sym_inexact=7 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	2	DTARG-CENSUS pairs=4 dt_result=0 dt_result_inexact=0 args=8 sym_exact=0 sym_inexact=8 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	4	DTARG-CENSUS pairs=4 dt_result=0 dt_result_inexact=0 args=9 sym_exact=0 sym_inexact=9 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cfdlli.ads_1416_14_partition_refinement.ads_15_4_precondition4___00.smt2	2	DTARG-CENSUS pairs=53 dt_result=0 dt_result_inexact=0 args=22 sym_exact=0 sym_inexact=22 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__a-cofuve.ads_239_30_a-cfdlli.ads_69_7_partition_refinement.ads_15_4_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O522-028__loop_entry_update__a-cfdlli.ads_469_49_loop_types.ads_16_4_overflow_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #713 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/O522-028__loop_entry_update__a-cfdlli.ads_469_49_loop_types.ads_16_4_overflow_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/O522-028__loop_entry_update__a-cfdlli.ads_469_49_loop_types.ads_16_4_overflow_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/O528-003__atomic_param__user.adb_7_11_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O708-018__root_conversion__fxp_false_check_2.adb_8_25_range_check___00.smt2	sat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O722-023__static_pred__statpred.adb_8_19_assert___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O831-003__do333_mode_logic_qgen__at_least_one_lateral_mode_active.adb_59_22_assert___00.smt2	sat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/O901-014__formal_vectors__aida-containers-formal_vectors.adb_144_55_hnco-test2.ads_8_4_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	UFDTLIRA/20200306-Kanig/spark2014bench/O901-014__formal_vectors__aida-containers-formal_vectors.adb_144_55_hnco-test2.ads_8_4_range_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/O901-014__formal_vectors__aida-containers-formal_vectors.adb_144_55_hnco-test2.ads_8_4_range_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
