# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTARG-CENSUS line>
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	8	DTARG-CENSUS pairs=15 dt_result=1 dt_result_inexact=0 args=21 sym_exact=0 sym_inexact=0 ctor_exact=8 ctor_inexact=0 apply_exact=13 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	2	DTARG-CENSUS pairs=2154 dt_result=1 dt_result_inexact=0 args=153 sym_exact=44 sym_inexact=0 ctor_exact=35 ctor_inexact=0 apply_exact=74 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	4	DTARG-CENSUS pairs=30 dt_result=1 dt_result_inexact=0 args=24 sym_exact=0 sym_inexact=0 ctor_exact=9 ctor_inexact=0 apply_exact=15 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	4	DTARG-CENSUS pairs=48 dt_result=1 dt_result_inexact=0 args=18 sym_exact=8 sym_inexact=0 ctor_exact=4 ctor_inexact=0 apply_exact=6 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_69_36_precondition2___00.smt2	2	DTARG-CENSUS pairs=615 dt_result=1 dt_result_inexact=0 args=87 sym_exact=22 sym_inexact=0 ctor_exact=25 ctor_inexact=0 apply_exact=40 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	4	DTARG-CENSUS pairs=126 dt_result=1 dt_result_inexact=0 args=28 sym_exact=12 sym_inexact=0 ctor_exact=5 ctor_inexact=0 apply_exact=11 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	2	DTARG-CENSUS pairs=2584 dt_result=1 dt_result_inexact=0 args=173 sym_exact=40 sym_inexact=0 ctor_exact=50 ctor_inexact=0 apply_exact=83 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	8	DTARG-CENSUS pairs=49 dt_result=1 dt_result_inexact=0 args=36 sym_exact=0 sym_inexact=0 ctor_exact=14 ctor_inexact=0 apply_exact=22 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	2	DTARG-CENSUS pairs=7516 dt_result=1 dt_result_inexact=0 args=278 sym_exact=68 sym_inexact=0 ctor_exact=68 ctor_inexact=0 apply_exact=142 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_75_44_precondition___00.smt2	4	DTARG-CENSUS pairs=79 dt_result=1 dt_result_inexact=0 args=40 sym_exact=0 sym_inexact=0 ctor_exact=14 ctor_inexact=0 apply_exact=26 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_83_16_precondition2___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=7 sym_exact=0 sym_inexact=0 ctor_exact=7 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	2	DTARG-CENSUS pairs=2081 dt_result=1 dt_result_inexact=0 args=210 sym_exact=68 sym_inexact=0 ctor_exact=70 ctor_inexact=0 apply_exact=72 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	4	DTARG-CENSUS pairs=27 dt_result=1 dt_result_inexact=0 args=31 sym_exact=0 sym_inexact=0 ctor_exact=27 ctor_inexact=0 apply_exact=4 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	2	DTARG-CENSUS pairs=270 dt_result=1 dt_result_inexact=0 args=93 sym_exact=34 sym_inexact=0 ctor_exact=41 ctor_inexact=0 apply_exact=18 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.ads_9_16_precondition2___00.smt2	4	DTARG-CENSUS pairs=97 dt_result=1 dt_result_inexact=0 args=47 sym_exact=18 sym_inexact=0 ctor_exact=21 ctor_inexact=0 apply_exact=8 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N627-026__defaults__with_default.adb_69_22_assert___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
C	AUFDTLIRA/20200306-Kanig/spark2014bench/N627-026__defaults__with_default.adb_69_22_assert___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N902-010__a_stack_no_spark_contracts_with_body.adb_25_18_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/N917-051__longest_common_prefix__longest_common_prefix.adb_13_35_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA06-051__loop__indexbis.ads_5_72_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NA06-051__loop__indexbis.ads_5_72_index_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_103_22_overflow_check4___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_35_16_index_check4___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_35_16_index_check4___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_51_39_overflow_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_51_39_overflow_check___00.smt2	9	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_87_33_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_87_33_overflow_check___00.smt2	4	DTARG-CENSUS pairs=3 dt_result=0 dt_result_inexact=0 args=14 sym_exact=0 sym_inexact=0 ctor_exact=14 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NA29-017__prove_all__sorting.adb_87_33_overflow_check___00.smt2	24	DTARG-CENSUS pairs=9 dt_result=0 dt_result_inexact=0 args=18 sym_exact=0 sym_inexact=0 ctor_exact=18 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/NB24-034__flow_spurious_ghost_warning__sorters.adb_51_43_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/NB24-034__flow_spurious_ghost_warning__sorters.adb_51_43_index_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O108-025__attribute_size__size_attr.adb_116_19_assert___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O108-025__attribute_size__size_attr.adb_116_19_assert___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	6	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	20	DTARG-CENSUS pairs=0 dt_result=1 dt_result_inexact=1 args=2 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	4	DTARG-CENSUS pairs=1 dt_result=1 dt_result_inexact=1 args=5 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=1 other=3 other_kinds=Select ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__type_contracts__communications.ads_16_9_invariant_check_on_default_value___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O416-002__type_contracts__communications.ads_16_9_invariant_check_on_default_value___00.smt2	16	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__demo_not_fixed_yet__generic_stack.adb_27_25_use_stacks.adb_47_7_index_check___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.adb_181_22_overflow_check___00.smt2	unknown	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.adb_181_22_overflow_check___00.smt2	103	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2	unknown	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2	9	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__prefix_sum__prefixsum.ads_18_32_unreachable_branch___00.smt2	unknown	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	14	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__stacks__stacks.ads_84_58_index_check___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=3 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	2	DTARG-CENSUS pairs=13 dt_result=0 dt_result_inexact=0 args=16 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=12 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTARG-CENSUS pairs=2 dt_result=0 dt_result_inexact=0 args=9 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=9 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTARG-CENSUS pairs=5 dt_result=0 dt_result_inexact=0 args=11 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=11 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	4	DTARG-CENSUS pairs=7 dt_result=0 dt_result_inexact=0 args=12 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=12 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	8	DTARG-CENSUS pairs=16 dt_result=1 dt_result_inexact=1 args=17 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=11 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	4	DTARG-CENSUS pairs=17 dt_result=1 dt_result_inexact=1 args=19 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=13 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	2	DTARG-CENSUS pairs=189 dt_result=1 dt_result_inexact=1 args=67 sym_exact=0 sym_inexact=39 ctor_exact=0 ctor_inexact=25 apply_exact=0 apply_inexact=3 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	4	DTARG-CENSUS pairs=26 dt_result=1 dt_result_inexact=1 args=28 sym_exact=0 sym_inexact=9 ctor_exact=0 ctor_inexact=17 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	2	DTARG-CENSUS pairs=48 dt_result=1 dt_result_inexact=1 args=35 sym_exact=0 sym_inexact=14 ctor_exact=0 ctor_inexact=19 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=2 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=6 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=4 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__while_loop_invariant__s.adb_14_9_loop_variant___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=2 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	AUFDTLIRA/20200306-Kanig/spark2014bench/O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=4 sym_exact=0 sym_inexact=4 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/OA20-032__refinement__patris.adb_121_63_index_check___00.smt2	unknown	give-up kind=Error detail=parse error: unsupported: nested array element sort is unsupported: List([Atom("Array"), Atom("Int"), List([Atom("Array"), Atom("Int"), Atom("cell")])])
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P115-039__spark16demo__concurrency_example.adb_14_13_dead_code___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: eager Ackermann elimination does not admit array-valued function results; use canonical AUFBV combination
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P412-021__conc_discr_dyn__p.adb_6_19_range_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WEAKER than real equality, and a weaker co
C	AUFDTLIRA/20200306-Kanig/spark2014bench/P412-021__conc_discr_dyn__p.adb_6_19_range_check___00.smt2	12	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=1 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P427-045__iterable_for_proof__test_containers.adb_22_38_precondition___00.smt2	unsat	none
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_11_13_range_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_11_13_range_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_218_46_frame_condition.adb_233_7_index_check___00.smt2	unsat	none
C	AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_218_46_frame_condition.adb_233_7_index_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
